"Story","Title","Result","Date","Stability","Duration (s)"
"Register","POST - Register without email","SUCCESS","2023-05-10T21:57:35.2043109+07:00[Asia/Jakarta]","0.0","0.55"
"Register","POST - Register without password","SUCCESS","2023-05-10T21:57:35.7889754+07:00[Asia/Jakarta]","0.0","0.44"
"Register","POST - Register with existed account","SUCCESS","2023-05-10T21:57:36.2537078+07:00[Asia/Jakarta]","0.0","0.43"
"Login","POST - Login with valid account","SUCCESS","2023-05-10T21:57:36.7164426+07:00[Asia/Jakarta]","0.0","0.51"
"Login","POST - Login with empty email","SUCCESS","2023-05-10T21:57:37.2547837+07:00[Asia/Jakarta]","0.0","0.52"
"Login","POST - Login with empty password","SUCCESS","2023-05-10T21:57:37.7907485+07:00[Asia/Jakarta]","0.0","0.54"
"Login","POST - Login without payload","SUCCESS","2023-05-10T21:57:38.3440224+07:00[Asia/Jakarta]","0.0","0.67"
"Login","POST - Login with empty body parameter","SUCCESS","2023-05-10T21:57:39.0306303+07:00[Asia/Jakarta]","0.0","0.48"
"User Information","GET - Get user information","SUCCESS","2023-05-10T21:57:39.5463335+07:00[Asia/Jakarta]","0.0","0.6"
"User Information","GET - Get user information without token","SUCCESS","2023-05-10T21:57:40.16498+07:00[Asia/Jakarta]","0.0","0.46"
"Categories","POST - Add new category","SUCCESS","2023-05-10T21:57:40.6457039+07:00[Asia/Jakarta]","0.0","0.42"
"Categories","POST - Add new category without description data payload","SUCCESS","2023-05-10T21:57:41.0824528+07:00[Asia/Jakarta]","0.0","0.38"
"Categories","POST - Add new category without name data payload","SUCCESS","2023-05-10T21:57:41.4782302+07:00[Asia/Jakarta]","0.0","0.43"
"Categories","GET - Get list all categories","SUCCESS","2023-05-10T21:57:41.9195012+07:00[Asia/Jakarta]","0.0","0.46"
"Categories","GET - Get categories by ID","SUCCESS","2023-05-10T21:57:42.3972235+07:00[Asia/Jakarta]","0.0","0.44"
"Product","POST - Add new product without Name payload","SUCCESS","2023-05-10T21:57:46.2199728+07:00[Asia/Jakarta]","0.0","0.37"
"Product","POST - Add new product without Description payload","SUCCESS","2023-05-10T21:57:46.5997556+07:00[Asia/Jakarta]","0.0","0.27"
"Product","GET - Get product by ID","SUCCESS","2023-05-10T21:57:46.886592+07:00[Asia/Jakarta]","0.0","0.86"
"Product","GET - Get all product","SUCCESS","2023-05-10T21:57:47.7550925+07:00[Asia/Jakarta]","0.0","0.35"
"Order","POST - Add new orders","SUCCESS","2023-05-10T21:57:48.1208831+07:00[Asia/Jakarta]","0.0","0.32"
"Order","GET - Get all order without login","SUCCESS","2023-05-10T21:57:49.854889+07:00[Asia/Jakarta]","0.0","0.23"
"Rating","POST - Give product rating","SUCCESS","2023-05-10T21:57:50.0987494+07:00[Asia/Jakarta]","0.0","0.7"
"Rating","POST - Give product rating out of bond","SUCCESS","2023-05-10T21:57:50.8013485+07:00[Asia/Jakarta]","0.0","0.25"
"Rating","GET - Get product rating","SUCCESS","2023-05-10T21:57:51.0641969+07:00[Asia/Jakarta]","0.0","0.26"
